nist_id,raw_name,smiles,canonical_smiles,compound_issue,classes,label
1,trc4mit_1,CCCCCCCCCC1CCCCC1,CCCCCCCCCC1CCCCC1,,[],CCCCCCCCCC1CCCCC1
1737,trc4mit_1737,CCn1ccnc1,CCn1ccnc1,,[],CCn1ccnc1
2,trc4mit_2,O=S=O,O=S=O,,[],O=S=O
3,trc4mit_3,S,S,,[],S
4,trc4mit_4,O=[N+]([O-])c1ccc(O)cc1,O=[N+]([O-])c1ccc(O)cc1,,"['alcohol', 'amine']",O=[N+]([O-])c1ccc(O)cc1
5,trc4mit_5,CCCCCCCCCCCl,CCCCCCCCCCCl,,[],CCCCCCCCCCCl
6,trc4mit_6,CCN(CC)CCO,CCN(CC)CCO,,"['alcohol', 'amine']",CCN(CC)CCO
7,trc4mit_7,CCc1ccccc1,CCc1ccccc1,,[],CCc1ccccc1
8,trc4mit_8,C=Cc1ccccc1,C=Cc1ccccc1,,[],C=Cc1ccccc1
9,trc4mit_9,ClCc1ccccc1,ClCc1ccccc1,,[],ClCc1ccccc1
10,trc4mit_10,NCc1ccccc1,NCc1ccccc1,,['amine'],NCc1ccccc1
11,trc4mit_11,N#Cc1ccccc1,N#Cc1ccccc1,,[],N#Cc1ccccc1
12,trc4mit_12,OCC1CCCCC1,OCC1CCCCC1,,['alcohol'],OCC1CCCCC1
13,trc4mit_13,OCc1ccccc1,OCc1ccccc1,,['alcohol'],OCc1ccccc1
14,trc4mit_14,O=Cc1ccccc1,O=Cc1ccccc1,,[],O=Cc1ccccc1
15,trc4mit_15,CNc1ccccc1,CNc1ccccc1,,['amine'],CNc1ccccc1
16,trc4mit_16,NNc1ccccc1,NNc1ccccc1,,['amine'],NNc1ccccc1
17,trc4mit_17,COc1ccccc1,COc1ccccc1,,['ether'],COc1ccccc1
18,trc4mit_18,C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3,,['amine'],C1N2CN3CN1CN(C2)C3
19,trc4mit_19,c1ccc(Cc2ccccc2)cc1,c1ccc(Cc2ccccc2)cc1,,[],c1ccc(Cc2ccccc2)cc1
20,trc4mit_20,c1ccc(Oc2ccccc2)cc1,c1ccc(Oc2ccccc2)cc1,,['ether'],c1ccc(Oc2ccccc2)cc1
21,trc4mit_21,CCOC(=O)Cc1ccccc1,CCOC(=O)Cc1ccccc1,,['ether'],CCOC(=O)Cc1ccccc1
22,trc4mit_22,O=C(Cc1ccccc1)Cc1ccccc1,O=C(Cc1ccccc1)Cc1ccccc1,,[],O=C(Cc1ccccc1)Cc1ccccc1
23,trc4mit_23,O=C(Nc1ccccc1)Nc1ccccc1,O=C(Nc1ccccc1)Nc1ccccc1,,[],O=C(Nc1ccccc1)Nc1ccccc1
24,trc4mit_24,CCCN(CCC)CCC,CCCN(CCC)CCC,,['amine'],CCCN(CCC)CCC
25,trc4mit_25,OCCN(CCO)CCO,OCCN(CCO)CCO,,"['alcohol', 'amine']",Triethanolamine (TEA)
26,trc4mit_26,CCCCN(CCO)CCO,CCCCN(CCO)CCO,,"['alcohol', 'amine']",CCCCN(CCO)CCO
27,trc4mit_27,CCCCN(CCO)CCCC,CCCCN(CCO)CCCC,,"['alcohol', 'amine']",CCCCN(CCO)CCCC
28,trc4mit_28,CCCCN(CCCC)CCCC,CCCCN(CCCC)CCCC,,['amine'],CCCCN(CCCC)CCCC
29,trc4mit_29,CCCCC(CC)COC(C)=O,CCCCC(CC)COC(C)=O,,['ether'],CCCCC(CC)COC(C)=O
30,trc4mit_30,CCCc1ccccc1,CCCc1ccccc1,,[],CCCc1ccccc1
31,trc4mit_31,CCNc1ccccc1,CCNc1ccccc1,,['amine'],CCNc1ccccc1
32,trc4mit_32,O=CNc1ccccc1,O=CNc1ccccc1,,[],O=CNc1ccccc1
33,trc4mit_33,CCOc1ccccc1,CCOc1ccccc1,,['ether'],CCOc1ccccc1
